# Logger: CSVLogger | Started: Fri Sep 26 15:20:21 2025
partition,stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras,__topic__
reconstructed,temp-1,temp-1-1758914423354,1758914423.3545914,1758914423.3545914,1758914423.3545914,float,C,25.836078681025526,26.362003754376996,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 25.836078681025526},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914426353,1758914426.353688,1758914426.353688,1758914426.353688,float,C,20.133888375543815,,,,,groundtruth,GroundTruthStream,{'ground_truth': 20.133888375543815},groundtruth.temp-1
observed,temp-1,temp-1-1758914424347,1758914424.347659,1758914424.354909,1758914424.347659,float,C,,,,,,missing,SimulatedDroppingStream,{},observed.temp-1
reconstructed,temp-1,temp-1-1758914424347,1758914424.347659,1758914424.354909,1758914424.347659,float,C,24.606213375400966,24.606213375400966,KalmanFilter,0.5884487744119128,True,reconstructed,SimulatedDroppingStream,{},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914427359,1758914427.3594015,1758914427.3594015,1758914427.3594015,float,C,19.005852598822376,,,,,groundtruth,GroundTruthStream,{'ground_truth': 19.005852598822376},groundtruth.temp-1
observed,temp-1,temp-1-1758914425351,1758914425.3519502,1758914425.3519502,1758914425.3519502,float,C,20.36961551261663,,,,,observed,SimulatedDroppingStream,{'ground_truth': 20.36961551261663},observed.temp-1
reconstructed,temp-1,temp-1-1758914425351,1758914425.3519502,1758914425.3519502,1758914425.3519502,float,C,20.36961551261663,20.409282684367014,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 20.36961551261663},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914429352,1758914429.352047,1758914429.352047,1758914429.352047,float,C,24.809167637267016,,,,,groundtruth,GroundTruthStream,{'ground_truth': 24.809167637267016},groundtruth.temp-1
observed,temp-1,temp-1-1758914426353,1758914426.353688,1758914426.353688,1758914426.353688,float,C,20.133888375543815,,,,,observed,SimulatedDroppingStream,{'ground_truth': 20.133888375543815},observed.temp-1
reconstructed,temp-1,temp-1-1758914426353,1758914426.353688,1758914426.353688,1758914426.353688,float,C,20.133888375543815,19.51533371338275,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 20.133888375543815},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914430355,1758914430.3556683,1758914430.3556683,1758914430.3556683,float,C,29.377548662779624,,,,,groundtruth,GroundTruthStream,{'ground_truth': 29.377548662779624},groundtruth.temp-1
observed,temp-1,temp-1-1758914427359,1758914427.3594015,1758914427.3594015,1758914427.3594015,float,C,19.005852598822376,,,,,observed,SimulatedDroppingStream,{'ground_truth': 19.005852598822376},observed.temp-1
reconstructed,temp-1,temp-1-1758914427359,1758914427.3594015,1758914427.3594015,1758914427.3594015,float,C,19.005852598822376,18.769354120763616,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 19.005852598822376},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914433356,1758914433.3560028,1758914433.3560028,1758914433.3560028,float,C,17.098931007060397,,,,,groundtruth,GroundTruthStream,{'ground_truth': 17.098931007060397},groundtruth.temp-1
observed,temp-1,temp-1-1758914428347,1758914428.347659,1758914428.3489044,1758914428.347659,float,C,,,,,,missing,SimulatedDroppingStream,{},observed.temp-1
reconstructed,temp-1,temp-1-1758914428347,1758914428.347659,1758914428.3489044,1758914428.347659,float,C,17.78959498396533,17.78959498396533,KalmanFilter,0.5926821884972657,True,reconstructed,SimulatedDroppingStream,{},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914434358,1758914434.3587663,1758914434.3587663,1758914434.3587663,float,C,16.916584827762055,,,,,groundtruth,GroundTruthStream,{'ground_truth': 16.916584827762055},groundtruth.temp-1
observed,temp-1,temp-1-1758914429352,1758914429.352047,1758914429.352047,1758914429.352047,float,C,24.809167637267016,,,,,observed,SimulatedDroppingStream,{'ground_truth': 24.809167637267016},observed.temp-1
reconstructed,temp-1,temp-1-1758914429352,1758914429.352047,1758914429.352047,1758914429.352047,float,C,24.809167637267016,24.559550642164353,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 24.809167637267016},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914435359,1758914435.3597088,1758914435.3597088,1758914435.3597088,float,C,28.09476259615089,,,,,groundtruth,GroundTruthStream,{'ground_truth': 28.09476259615089},groundtruth.temp-1
observed,temp-1,temp-1-1758914430355,1758914430.3556683,1758914430.3556683,1758914430.3556683,float,C,29.377548662779624,,,,,observed,SimulatedDroppingStream,{'ground_truth': 29.377548662779624},observed.temp-1
reconstructed,temp-1,temp-1-1758914430355,1758914430.3556683,1758914430.3556683,1758914430.3556683,float,C,29.377548662779624,29.389407587362363,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 29.377548662779624},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914437358,1758914437.3586218,1758914437.3586218,1758914437.3586218,float,C,20.3651828453618,,,,,groundtruth,GroundTruthStream,{'ground_truth': 20.3651828453618},groundtruth.temp-1
observed,temp-1,temp-1-1758914431347,1758914431.347659,1758914431.3595963,1758914431.347659,float,C,,,,,,missing,SimulatedDroppingStream,{},observed.temp-1
reconstructed,temp-1,temp-1-1758914431347,1758914431.347659,1758914431.3595963,1758914431.347659,float,C,35.854266517016065,35.854266517016065,KalmanFilter,0.5839625536105953,True,reconstructed,SimulatedDroppingStream,{},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914441361,1758914441.3617358,1758914441.3617358,1758914441.3617358,float,C,21.613807374021693,,,,,groundtruth,GroundTruthStream,{'ground_truth': 21.613807374021693},groundtruth.temp-1
observed,temp-1,temp-1-1758914432347,1758914432.347659,1758914432.3508341,1758914432.347659,float,C,,,,,,missing,SimulatedDroppingStream,{},observed.temp-1
reconstructed,temp-1,temp-1-1758914432347,1758914432.347659,1758914432.3508341,1758914432.347659,float,C,43.928559995861065,43.928559995861065,KalmanFilter,0.24137664573931628,True,reconstructed,SimulatedDroppingStream,{},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914444356,1758914444.356288,1758914444.356288,1758914444.356288,float,C,21.066053623322407,,,,,groundtruth,GroundTruthStream,{'ground_truth': 21.066053623322407},groundtruth.temp-1
observed,temp-1,temp-1-1758914433356,1758914433.3560028,1758914433.3560028,1758914433.3560028,float,C,17.098931007060397,,,,,observed,SimulatedDroppingStream,{'ground_truth': 17.098931007060397},observed.temp-1
reconstructed,temp-1,temp-1-1758914433356,1758914433.3560028,1758914433.3560028,1758914433.3560028,float,C,17.098931007060397,17.474307426370743,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 17.098931007060397},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914445361,1758914445.3614247,1758914445.3614247,1758914445.3614247,float,C,16.86167123631588,,,,,groundtruth,GroundTruthStream,{'ground_truth': 16.86167123631588},groundtruth.temp-1
observed,temp-1,temp-1-1758914434358,1758914434.3587663,1758914434.3587663,1758914434.3587663,float,C,16.916584827762055,,,,,observed,SimulatedDroppingStream,{'ground_truth': 16.916584827762055},observed.temp-1
reconstructed,temp-1,temp-1-1758914434358,1758914434.3587663,1758914434.3587663,1758914434.3587663,float,C,16.916584827762055,15.94744025107028,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 16.916584827762055},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914446361,1758914446.3616238,1758914446.3616238,1758914446.3616238,float,C,29.812444688772427,,,,,groundtruth,GroundTruthStream,{'ground_truth': 29.812444688772427},groundtruth.temp-1
observed,temp-1,temp-1-1758914435359,1758914435.3597088,1758914435.3597088,1758914435.3597088,float,C,28.09476259615089,,,,,observed,SimulatedDroppingStream,{'ground_truth': 28.09476259615089},observed.temp-1
reconstructed,temp-1,temp-1-1758914435359,1758914435.3597088,1758914435.3597088,1758914435.3597088,float,C,28.09476259615089,26.237290573196752,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 28.09476259615089},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914448349,1758914448.3494198,1758914448.3494198,1758914448.3494198,float,C,17.94002557763773,,,,,groundtruth,GroundTruthStream,{'ground_truth': 17.94002557763773},groundtruth.temp-1
observed,temp-1,temp-1-1758914436347,1758914436.347659,1758914436.3536227,1758914436.347659,float,C,,,,,,missing,SimulatedDroppingStream,{},observed.temp-1
reconstructed,temp-1,temp-1-1758914436347,1758914436.347659,1758914436.3536227,1758914436.347659,float,C,35.98093894751914,35.98093894751914,KalmanFilter,0.5905227007384611,True,reconstructed,SimulatedDroppingStream,{},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914449352,1758914449.3520942,1758914449.3520942,1758914449.3520942,float,C,28.393273843386602,,,,,groundtruth,GroundTruthStream,{'ground_truth': 28.393273843386602},groundtruth.temp-1
observed,temp-1,temp-1-1758914437358,1758914437.3586218,1758914437.3586218,1758914437.3586218,float,C,20.3651828453618,,,,,observed,SimulatedDroppingStream,{'ground_truth': 20.3651828453618},observed.temp-1
reconstructed,temp-1,temp-1-1758914437358,1758914437.3586218,1758914437.3586218,1758914437.3586218,float,C,20.3651828453618,21.30231440184628,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 20.3651828453618},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914450358,1758914450.3585477,1758914450.3585477,1758914450.3585477,float,C,18.78253553497116,,,,,groundtruth,GroundTruthStream,{'ground_truth': 18.78253553497116},groundtruth.temp-1
observed,temp-1,temp-1-1758914438347,1758914438.347659,1758914438.358037,1758914438.347659,float,C,,,,,,missing,SimulatedDroppingStream,{},observed.temp-1
reconstructed,temp-1,temp-1-1758914438347,1758914438.347659,1758914438.358037,1758914438.347659,float,C,18.520218156363008,18.520218156363008,KalmanFilter,0.5956510619571909,True,reconstructed,SimulatedDroppingStream,{},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914451362,1758914451.362469,1758914451.362469,1758914451.362469,float,C,28.486747785451612,,,,,groundtruth,GroundTruthStream,{'ground_truth': 28.486747785451612},groundtruth.temp-1
observed,temp-1,temp-1-1758914439347,1758914439.347659,1758914439.358484,1758914439.347659,float,C,,,,,,missing,SimulatedDroppingStream,{},observed.temp-1
reconstructed,temp-1,temp-1-1758914439347,1758914439.347659,1758914439.358484,1758914439.347659,float,C,14.42924832805755,14.42924832805755,KalmanFilter,0.2477494309798182,True,reconstructed,SimulatedDroppingStream,{},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914452349,1758914452.3494372,1758914452.3494372,1758914452.3494372,float,C,19.002318895908488,,,,,groundtruth,GroundTruthStream,{'ground_truth': 19.002318895908488},groundtruth.temp-1
observed,temp-1,temp-1-1758914440347,1758914440.347659,1758914440.3577816,1758914440.347659,float,C,,,,,,missing,SimulatedDroppingStream,{},observed.temp-1
reconstructed,temp-1,temp-1-1758914440347,1758914440.347659,1758914440.3577816,1758914440.347659,float,C,9.029404916929906,9.029404916929906,KalmanFilter,0.0957642667212039,True,reconstructed,SimulatedDroppingStream,{},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914453353,1758914453.353759,1758914453.353759,1758914453.353759,float,C,17.452863193328525,,,,,groundtruth,GroundTruthStream,{'ground_truth': 17.452863193328525},groundtruth.temp-1
observed,temp-1,temp-1-1758914441361,1758914441.3617358,1758914441.3617358,1758914441.3617358,float,C,21.613807374021693,,,,,observed,SimulatedDroppingStream,{'ground_truth': 21.613807374021693},observed.temp-1
reconstructed,temp-1,temp-1-1758914441361,1758914441.3617358,1758914441.3617358,1758914441.3617358,float,C,21.613807374021693,21.532078032587343,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 21.613807374021693},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914454361,1758914454.3610036,1758914454.3610036,1758914454.3610036,float,C,16.24097971123248,,,,,groundtruth,GroundTruthStream,{'ground_truth': 16.24097971123248},groundtruth.temp-1
observed,temp-1,temp-1-1758914442347,1758914442.347659,1758914442.3515706,1758914442.347659,float,C,,,,,,missing,SimulatedDroppingStream,{},observed.temp-1
reconstructed,temp-1,temp-1-1758914442347,1758914442.347659,1758914442.3515706,1758914442.347659,float,C,22.270460613666838,22.270460613666838,KalmanFilter,0.5351131245788316,True,reconstructed,SimulatedDroppingStream,{},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914455354,1758914455.3542428,1758914455.3542428,1758914455.3542428,float,C,18.880406227263098,,,,,groundtruth,GroundTruthStream,{'ground_truth': 18.880406227263098},groundtruth.temp-1
observed,temp-1,temp-1-1758914443347,1758914443.347659,1758914443.3508918,1758914443.347659,float,C,,,,,,missing,SimulatedDroppingStream,{},observed.temp-1
reconstructed,temp-1,temp-1-1758914443347,1758914443.347659,1758914443.3508918,1758914443.347659,float,C,23.33026633392771,23.33026633392771,KalmanFilter,0.19095445685898027,True,reconstructed,SimulatedDroppingStream,{},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914457349,1758914457.3498094,1758914457.3498094,1758914457.3498094,float,C,23.070634780489932,,,,,groundtruth,GroundTruthStream,{'ground_truth': 23.070634780489932},groundtruth.temp-1
observed,temp-1,temp-1-1758914444356,1758914444.356288,1758914444.356288,1758914444.356288,float,C,21.066053623322407,,,,,observed,SimulatedDroppingStream,{'ground_truth': 21.066053623322407},observed.temp-1
reconstructed,temp-1,temp-1-1758914444356,1758914444.356288,1758914444.356288,1758914444.356288,float,C,21.066053623322407,21.093506181278812,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 21.066053623322407},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914459360,1758914459.3609297,1758914459.3609297,1758914459.3609297,float,C,29.432874466172148,,,,,groundtruth,GroundTruthStream,{'ground_truth': 29.432874466172148},groundtruth.temp-1
observed,temp-1,temp-1-1758914445361,1758914445.3614247,1758914445.3614247,1758914445.3614247,float,C,16.86167123631588,,,,,observed,SimulatedDroppingStream,{'ground_truth': 16.86167123631588},observed.temp-1
reconstructed,temp-1,temp-1-1758914445361,1758914445.3614247,1758914445.3614247,1758914445.3614247,float,C,16.86167123631588,17.32722406086008,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 16.86167123631588},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914460350,1758914460.3509586,1758914460.3509586,1758914460.3509586,float,C,24.17784572509317,,,,,groundtruth,GroundTruthStream,{'ground_truth': 24.17784572509317},groundtruth.temp-1
observed,temp-1,temp-1-1758914446361,1758914446.3616238,1758914446.3616238,1758914446.3616238,float,C,29.812444688772427,,,,,observed,SimulatedDroppingStream,{'ground_truth': 29.812444688772427},observed.temp-1
reconstructed,temp-1,temp-1-1758914446361,1758914446.3616238,1758914446.3616238,1758914446.3616238,float,C,29.812444688772427,27.915659838100346,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 29.812444688772427},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914461361,1758914461.3619306,1758914461.3619306,1758914461.3619306,float,C,19.942650230239913,,,,,groundtruth,GroundTruthStream,{'ground_truth': 19.942650230239913},groundtruth.temp-1
observed,temp-1,temp-1-1758914447347,1758914447.347659,1758914447.3632722,1758914447.347659,float,C,,,,,,missing,SimulatedDroppingStream,{},observed.temp-1
reconstructed,temp-1,temp-1-1758914447347,1758914447.347659,1758914447.3632722,1758914447.347659,float,C,37.22124518686702,37.22124518686702,KalmanFilter,0.5897621901382116,True,reconstructed,SimulatedDroppingStream,{},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914463355,1758914463.3559813,1758914463.3559813,1758914463.3559813,float,C,20.492504681300623,,,,,groundtruth,GroundTruthStream,{'ground_truth': 20.492504681300623},groundtruth.temp-1
observed,temp-1,temp-1-1758914448349,1758914448.3494198,1758914448.3494198,1758914448.3494198,float,C,17.94002557763773,,,,,observed,SimulatedDroppingStream,{'ground_truth': 17.94002557763773},observed.temp-1
reconstructed,temp-1,temp-1-1758914448349,1758914448.3494198,1758914448.3494198,1758914448.3494198,float,C,17.94002557763773,18.956623752617624,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 17.94002557763773},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914464350,1758914464.3504736,1758914464.3504736,1758914464.3504736,float,C,21.581552056987654,,,,,groundtruth,GroundTruthStream,{'ground_truth': 21.581552056987654},groundtruth.temp-1
observed,temp-1,temp-1-1758914449352,1758914449.3520942,1758914449.3520942,1758914449.3520942,float,C,28.393273843386602,,,,,observed,SimulatedDroppingStream,{'ground_truth': 28.393273843386602},observed.temp-1
reconstructed,temp-1,temp-1-1758914449352,1758914449.3520942,1758914449.3520942,1758914449.3520942,float,C,28.393273843386602,26.375167356939933,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 28.393273843386602},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914465355,1758914465.3554034,1758914465.3554034,1758914465.3554034,float,C,22.288879465901353,,,,,groundtruth,GroundTruthStream,{'ground_truth': 22.288879465901353},groundtruth.temp-1
observed,temp-1,temp-1-1758914450358,1758914450.3585477,1758914450.3585477,1758914450.3585477,float,C,18.78253553497116,,,,,observed,SimulatedDroppingStream,{'ground_truth': 18.78253553497116},observed.temp-1
reconstructed,temp-1,temp-1-1758914450358,1758914450.3585477,1758914450.3585477,1758914450.3585477,float,C,18.78253553497116,20.299511147262837,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 18.78253553497116},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914466358,1758914466.3583484,1758914466.3583484,1758914466.3583484,float,C,28.204172231998562,,,,,groundtruth,GroundTruthStream,{'ground_truth': 28.204172231998562},groundtruth.temp-1
observed,temp-1,temp-1-1758914451362,1758914451.362469,1758914451.362469,1758914451.362469,float,C,28.486747785451612,,,,,observed,SimulatedDroppingStream,{'ground_truth': 28.486747785451612},observed.temp-1
reconstructed,temp-1,temp-1-1758914451362,1758914451.362469,1758914451.362469,1758914451.362469,float,C,28.486747785451612,26.9132642831609,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 28.486747785451612},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914468350,1758914468.350418,1758914468.350418,1758914468.350418,float,C,19.300484539585696,,,,,groundtruth,GroundTruthStream,{'ground_truth': 19.300484539585696},groundtruth.temp-1
observed,temp-1,temp-1-1758914452349,1758914452.3494372,1758914452.3494372,1758914452.3494372,float,C,19.002318895908488,,,,,observed,SimulatedDroppingStream,{'ground_truth': 19.002318895908488},observed.temp-1
reconstructed,temp-1,temp-1-1758914452349,1758914452.3494372,1758914452.3494372,1758914452.3494372,float,C,19.002318895908488,20.631912732510315,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 19.002318895908488},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914469352,1758914469.352598,1758914469.352598,1758914469.352598,float,C,26.731420757506392,,,,,groundtruth,GroundTruthStream,{'ground_truth': 26.731420757506392},groundtruth.temp-1
observed,temp-1,temp-1-1758914453353,1758914453.353759,1758914453.353759,1758914453.353759,float,C,17.452863193328525,,,,,observed,SimulatedDroppingStream,{'ground_truth': 17.452863193328525},observed.temp-1
reconstructed,temp-1,temp-1-1758914453353,1758914453.353759,1758914453.353759,1758914453.353759,float,C,17.452863193328525,17.31426496468596,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 17.452863193328525},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914471352,1758914471.3529782,1758914471.3529782,1758914471.3529782,float,C,20.74981415491197,,,,,groundtruth,GroundTruthStream,{'ground_truth': 20.74981415491197},groundtruth.temp-1
observed,temp-1,temp-1-1758914454361,1758914454.3610036,1758914454.3610036,1758914454.3610036,float,C,16.24097971123248,,,,,observed,SimulatedDroppingStream,{'ground_truth': 16.24097971123248},observed.temp-1
reconstructed,temp-1,temp-1-1758914454361,1758914454.3610036,1758914454.3610036,1758914454.3610036,float,C,16.24097971123248,15.743088301789365,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 16.24097971123248},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914474357,1758914474.3577693,1758914474.3577693,1758914474.3577693,float,C,24.066350194136334,,,,,groundtruth,GroundTruthStream,{'ground_truth': 24.066350194136334},groundtruth.temp-1
observed,temp-1,temp-1-1758914455354,1758914455.3542428,1758914455.3542428,1758914455.3542428,float,C,18.880406227263098,,,,,observed,SimulatedDroppingStream,{'ground_truth': 18.880406227263098},observed.temp-1
reconstructed,temp-1,temp-1-1758914455354,1758914455.3542428,1758914455.3542428,1758914455.3542428,float,C,18.880406227263098,18.08808887783013,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 18.880406227263098},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914475360,1758914475.3604553,1758914475.3604553,1758914475.3604553,float,C,24.79944783260147,,,,,groundtruth,GroundTruthStream,{'ground_truth': 24.79944783260147},groundtruth.temp-1
observed,temp-1,temp-1-1758914456347,1758914456.347659,1758914456.3636866,1758914456.347659,float,C,,,,,,missing,SimulatedDroppingStream,{},observed.temp-1
reconstructed,temp-1,temp-1-1758914456347,1758914456.347659,1758914456.3636866,1758914456.347659,float,C,19.916262686255514,19.916262686255514,KalmanFilter,0.5974119093094473,True,reconstructed,SimulatedDroppingStream,{},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914476353,1758914476.3539972,1758914476.3539972,1758914476.3539972,float,C,22.797453389210627,,,,,groundtruth,GroundTruthStream,{'ground_truth': 22.797453389210627},groundtruth.temp-1
observed,temp-1,temp-1-1758914457349,1758914457.3498094,1758914457.3498094,1758914457.3498094,float,C,23.070634780489932,,,,,observed,SimulatedDroppingStream,{'ground_truth': 23.070634780489932},observed.temp-1
reconstructed,temp-1,temp-1-1758914457349,1758914457.3498094,1758914457.3498094,1758914457.3498094,float,C,23.070634780489932,23.067625776219757,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 23.070634780489932},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914477349,1758914477.349579,1758914477.349579,1758914477.349579,float,C,17.00344185887807,,,,,groundtruth,GroundTruthStream,{'ground_truth': 17.00344185887807},groundtruth.temp-1
observed,temp-1,temp-1-1758914458347,1758914458.347659,1758914458.3513103,1758914458.347659,float,C,,,,,,missing,SimulatedDroppingStream,{},observed.temp-1
reconstructed,temp-1,temp-1-1758914458347,1758914458.347659,1758914458.3513103,1758914458.347659,float,C,27.428514194000126,27.428514194000126,KalmanFilter,0.5964112138637926,True,reconstructed,SimulatedDroppingStream,{},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914479362,1758914479.3629549,1758914479.3629549,1758914479.3629549,float,C,21.028549560952825,,,,,groundtruth,GroundTruthStream,{'ground_truth': 21.028549560952825},groundtruth.temp-1
observed,temp-1,temp-1-1758914459360,1758914459.3609297,1758914459.3609297,1758914459.3609297,float,C,29.432874466172148,,,,,observed,SimulatedDroppingStream,{'ground_truth': 29.432874466172148},observed.temp-1
reconstructed,temp-1,temp-1-1758914459360,1758914459.3609297,1758914459.3609297,1758914459.3609297,float,C,29.432874466172148,29.548553666683926,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 29.432874466172148},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914480357,1758914480.3570619,1758914480.3570619,1758914480.3570619,float,C,18.633945276754577,,,,,groundtruth,GroundTruthStream,{'ground_truth': 18.633945276754577},groundtruth.temp-1
observed,temp-1,temp-1-1758914460350,1758914460.3509586,1758914460.3509586,1758914460.3509586,float,C,24.17784572509317,,,,,observed,SimulatedDroppingStream,{'ground_truth': 24.17784572509317},observed.temp-1
reconstructed,temp-1,temp-1-1758914460350,1758914460.3509586,1758914460.3509586,1758914460.3509586,float,C,24.17784572509317,25.40359251416766,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 24.17784572509317},reconstructed.temp-1
