# Started Tue Dec 30 12:10:50 2025
id,type,src,event_ts,value,confidence,event_status,value_datatype,value_unit,extras
3fff6e36-afb6-45c8-9697-420944ea388e,simulated,speed-1,1767114670.6190646,4.271160443028458,0.9632981707965061,reconstructed,unknown,,{'reconstruction_method': 'KalmanFilter', 'reconstruction_time': 1767114670.729589}
fef35832-bab6-45ca-a573-626e4ff28e6f,float,engine-temp-1,1767114671.1053772,70.80537314105268,1.0,observed,scalar,C,{'drift': -0.2621442948039731, 'noise': -0.38509092409279677}
c90ea9f5-9ecf-4629-9194-79b5fc866ba6,float,speed-1,1767114671.6300678,14.2363940713232,1.0,observed,scalar,km/h,{'drift': -0.9424781973788745, 'noise': 0.5812983892373091}
c25f286b-2971-4e31-9077-3cceec947ce5,float,fuel-1,1767114671.880196,49.887067286977,1.0,observed,scalar,%,{'drift': -0.11319537003392854, 'noise': -0.012258824169494637}
77c86595-1271-40be-bfd6-6e3952fb1468,float,engine-temp-1,1767114671.9903827,70.52728687068915,1.0,observed,scalar,C,{'drift': -0.011133246541422226, 'noise': -0.266953023822103}
ea056cfa-c2ed-46ad-bb9a-71c3ac085282,float,speed-1,1767114672.6323302,9.690954230933933,1.0,observed,scalar,km/h,{'drift': -1.9299661935788572, 'noise': -2.61547364681041}
b73ce1fd-5de1-479a-825a-9a883bca13eb,float,engine-temp-1,1767114672.8821325,70.0,1.0,observed,scalar,C,{'drift': -0.06330229945247132, 'noise': -2.141676720632093}
8f7b3a1f-e14c-45b3-92ed-d1eaa45b2103,float,fuel-1,1767114673.1328526,49.84308739963274,1.0,observed,scalar,%,{'drift': -0.010766130069612578, 'noise': -0.03321375727464364}
f50b8d8c-9bfd-4e67-89b6-325d1a4ba94d,simulated,speed-1,1767114673.6190646,8.984118447808388,0.956510708263102,reconstructed,unknown,,{'reconstruction_method': 'KalmanFilter', 'reconstruction_time': 1767114673.7242115}
dcdd7c1f-c061-4e6c-8b38-d6f3830198df,float,engine-temp-1,1767114673.7693093,70.4362003893291,1.0,observed,scalar,C,{'drift': -0.13276525800312158, 'noise': 0.5689656473322239}
092527e4-ca77-4664-9055-0aceb912afba,float,fuel-1,1767114674.3893936,49.55921247865683,1.0,observed,scalar,%,{'drift': -0.2949267516476892, 'noise': 0.011051830671774537}
d23dcf4c-bfd8-4728-aa3b-5eb0e856a99d,float,speed-1,1767114674.6260269,7.53366037817735,1.0,observed,scalar,km/h,{'drift': -0.9980448512686353, 'noise': 1.9958835915839883}
c1cf1fd3-8c9e-4cac-84cb-0fae3d463a5e,float,engine-temp-1,1767114674.6570265,70.74730316962325,1.0,observed,scalar,C,{'drift': 0.20160500355362115, 'noise': 0.10949777674052164}
6b940393-75b7-4bb5-b259-e6280c8ca24b,float,engine-temp-1,1767114675.5533648,70.55523568884749,1.0,observed,scalar,C,{'drift': -0.0964890017566136, 'noise': -0.09557847901914462}
2870b5bf-10df-4bf4-b0a6-775fb6793b02,float,fuel-1,1767114675.6324184,49.305177511419394,1.0,observed,scalar,%,{'drift': -0.29795085144231837, 'noise': 0.043915884204882696}
a3ffe592-822a-4b04-9646-31fbb9ab65ee,simulated,speed-1,1767114675.6190646,8.231211209326013,0.9495974670623978,reconstructed,unknown,,{'reconstruction_method': 'KalmanFilter', 'reconstruction_time': 1767114675.7254307}
3c1276b7-49f7-42a4-a130-93206f57a2e4,float,engine-temp-1,1767114676.4438374,70.0,1.0,observed,scalar,C,{'drift': 0.0779045460763157, 'noise': -1.0786862588531805}
a18302fb-282e-43c0-a31a-fa6d0e370767,float,speed-1,1767114676.629562,5.831402127914155,1.0,observed,scalar,km/h,{'drift': -0.8576186058922213, 'noise': 5.609217157417981}
dee92e61-693a-4ba9-bc9e-55fc30eef55e,float,fuel-1,1767114676.8817093,49.220738663858164,1.0,observed,scalar,%,{'drift': -0.2901022919015286, 'noise': 0.20566344434030134}
20c92ca3-cbce-4694-8edc-3e0936d115db,float,engine-temp-1,1767114677.3327072,70.0,1.0,observed,scalar,C,{'drift': -0.1258996498191715, 'noise': -0.20202358412043672}
26830a71-a18d-4dc4-a8bf-ce9dd506542a,float,speed-1,1767114677.6292846,3.6226060780399534,1.0,observed,scalar,km/h,{'drift': -1.1660220689117065, 'noise': -1.0427739809624947}
6a453f04-262a-4d60-a38a-83dd7303e537,float,fuel-1,1767114678.127962,48.70808767646941,1.0,observed,scalar,%,{'drift': -0.3738775440088207, 'noise': -0.13877344337993305}
e7a32145-c01d-4e1a-b1e9-eb32a65f9882,float,engine-temp-1,1767114678.2219748,71.00715661396761,1.0,observed,scalar,C,{'drift': 0.2232305607405904, 'noise': 0.7839260532270244}
e70c85b4-f181-4ca3-970c-c9fdc5d0f74e,float,speed-1,1767114678.6278665,1.7613616020217657,1.0,observed,scalar,km/h,{'drift': 0.014523137130262764, 'noise': -1.8757676131484504}
aaa19098-f82b-43ea-a54f-7ed1b4c99e1c,float,engine-temp-1,1767114679.1101892,71.2891365982569,1.0,observed,scalar,C,{'drift': -0.012705561621617789, 'noise': 0.2946855459109052}
89b79ddc-8d67-4d59-8ff2-437301aa75a0,float,fuel-1,1767114679.376272,49.332390415253776,1.0,observed,scalar,%,{'drift': 0.43583768264112344, 'noise': 0.18846505614324036}
9e6b28b5-7d33-4ea6-85ec-a45d5845b203,float,speed-1,1767114679.626684,0.0,1.0,observed,scalar,km/h,{'drift': 1.6295355637457845, 'noise': -3.506332354201201}
01bc6f07-7bd3-403f-a90c-70024140132f,float,engine-temp-1,1767114679.9965446,71.3213387742508,1.0,observed,scalar,C,{'drift': -0.1275453971476849, 'noise': 0.15974757314158441}
891b5dcd-876f-40bb-ba44-621da586f347,float,fuel-1,1767114680.6234698,49.11833169913596,1.0,observed,scalar,%,{'drift': -0.2359665662093159, 'noise': 0.021907850091495134}
b0949af2-14c3-45e0-a7b9-ee203c4f781e,float,speed-1,1767114680.6244695,0.0,1.0,observed,scalar,km/h,{'drift': -1.6336937815635837, 'noise': -0.18377019354087967}
733dd901-af42-4a95-9d88-7b9e7d9a7a8d,float,engine-temp-1,1767114680.8875468,73.00793466925806,1.0,observed,scalar,C,{'drift': -0.2850027406814479, 'noise': 1.9715986356887116}
28e7394c-c894-4275-8f56-35ba47e4b1d1,float,speed-1,1767114681.6239276,0.24751094231775184,1.0,observed,scalar,km/h,{'drift': 0.5394019385790427, 'noise': -0.2918909962612909}
e2309cb6-1a2f-45bb-a107-90207bd68fad,float,engine-temp-1,1767114681.7814424,74.08988944504308,1.0,observed,scalar,C,{'drift': 0.08393056628597484, 'noise': 0.9980242094990521}
a0c667ad-aafb-4267-89e0-ea82e3fae921,float,fuel-1,1767114681.8747427,48.99062396545417,1.0,observed,scalar,%,{'drift': 0.07725521567137128, 'noise': -0.20496294935316195}
fa972047-9a02-4db0-bc70-c9ac36591403,float,speed-1,1767114682.6253362,0.0,1.0,observed,scalar,km/h,{'drift': 0.022596361017494626, 'noise': -1.8728860225653394}
98b32563-cac9-46de-8626-9591d71b5496,float,engine-temp-1,1767114682.6727376,72.06244006641798,1.0,observed,scalar,C,{'drift': 0.10951201806828192, 'noise': -2.136961396693386}
e9d31e48-1dbd-4e66-9562-405349af9386,float,fuel-1,1767114683.1400983,49.203196539433605,1.0,observed,scalar,%,{'drift': 0.1706944189311782, 'noise': 0.0418781550482594}
7d14031e-83bf-402c-b6db-c98939bdb0e5,float,engine-temp-1,1767114683.5615747,71.93417030042158,1.0,observed,scalar,C,{'drift': -0.07907675899856925, 'noise': -0.04919300699781669}
3ea6b94d-e2ae-4e8a-a471-c52ca6b54562,float,speed-1,1767114683.6371102,0.0,1.0,observed,scalar,km/h,{'drift': -0.991909573657102, 'noise': -1.2615195527535124}
9dd19b3c-5245-4758-b431-b34acd5d162c,float,engine-temp-1,1767114684.44811,70.0,1.0,observed,scalar,C,{'drift': 0.045385452115403624, 'noise': -3.63065622778024}
218e308f-343b-4dec-8fca-33d0cd55fb0d,simulated,fuel-1,1767114684.3690646,49.748973213290185,0.9993952449878025,reconstructed,unknown,,{'reconstruction_method': 'KalmanFilter', 'reconstruction_time': 1767114684.4794958}
b669781d-dc30-4d79-9a77-e13118a27c0f,float,speed-1,1767114684.6353502,10.20401784968061,1.0,observed,scalar,km/h,{'drift': 1.7134344230306415, 'noise': 8.49058342664997}
fbaec2d5-7c87-4b82-9b63-ca89998988f0,simulated,engine-temp-1,1767114685.3290687,72.07520971559504,1.0,reconstructed,unknown,,{'reconstruction_method': 'KalmanFilter', 'reconstruction_time': 1767114685.432738}
c91734ce-1d9b-4888-8cdb-7c9cb3a56d4e,float,speed-1,1767114685.6364071,3.935897203319964,1.0,observed,scalar,km/h,{'drift': -0.6761514065614462, 'noise': -5.5919692397992}
d73384a6-927a-42bb-adac-687407d00c61,float,fuel-1,1767114685.6364071,48.65915926112799,1.0,observed,scalar,%,{'drift': -0.4905775574027683, 'noise': 0.017443001558473035}
61c7e020-fcb9-4866-8849-0dad4363c178,float,engine-temp-1,1767114686.2279632,70.0,1.0,observed,scalar,C,{'drift': -0.26009687378569185, 'noise': -1.3785846990174617}
44a7d112-f406-4764-bba8-b60bdbb20817,float,speed-1,1767114686.6350396,12.753411519774618,1.0,observed,scalar,km/h,{'drift': -1.3430070040610604, 'noise': 10.160521320515715}
0c0bd472-99b9-4e21-be33-c26ce2f3d5b3,float,fuel-1,1767114686.8857262,48.768755894139304,1.0,observed,scalar,%,{'drift': 0.11676315993316055, 'noise': -0.007166526921845344}
bda0d7aa-8787-44d7-bb84-6dfbb9107731,simulated,engine-temp-1,1767114687.1090689,71.48344537707936,0.9936590098663021,reconstructed,unknown,,{'reconstruction_method': 'KalmanFilter', 'reconstruction_time': 1767114687.2150989}
556558a1-080f-45e4-84ec-5ce98dccea54,float,speed-1,1767114687.6384068,17.123692298843874,1.0,observed,scalar,km/h,{'drift': 1.9731453317665633, 'noise': 2.3971354473026936}
94a7e6c1-13e7-4f69-8b01-bab4b66c8008,float,engine-temp-1,1767114688.0136964,70.87026597397616,1.0,observed,scalar,C,{'drift': 0.11907051046490563, 'noise': -0.054729700002873506}
b6476da9-2f12-4bb3-9f87-d1b77b4af165,float,fuel-1,1767114688.1383843,48.88015345089948,1.0,observed,scalar,%,{'drift': 0.1553801335118159, 'noise': -0.04398257675164511}
d961c5c7-ece5-43bc-b1d1-2e562dfa9284,float,speed-1,1767114688.6246753,12.795079954204509,1.0,observed,scalar,km/h,{'drift': -1.3619292282583202, 'noise': -2.966683116381045}
49815842-06ea-4fd4-9f84-5e481effa89a,float,engine-temp-1,1767114688.908324,73.80039479493338,1.0,observed,scalar,C,{'drift': 0.20094642932880064, 'noise': 2.7291823916284197}
11df5ca0-f133-4c6a-9165-7ac673f741b9,float,fuel-1,1767114689.3804903,48.75162469675283,1.0,observed,scalar,%,{'drift': -0.06748198528569338, 'noise': -0.06104676886095454}
5151d532-7bb6-445d-b5f8-f82255e7ccad,float,speed-1,1767114689.634928,8.187814687145261,1.0,observed,scalar,km/h,{'drift': 0.10758918859359001, 'noise': -4.714854455652837}
7ff6c23f-5576-4280-9079-a0492c3f6772,float,engine-temp-1,1767114689.792459,71.99676215061622,1.0,observed,scalar,C,{'drift': 0.10333638930835864, 'noise': -1.9069690336255225}
8e102352-116a-4f4a-817f-4cd8811b5208,float,speed-1,1767114690.6317163,13.990174285980183,1.0,observed,scalar,km/h,{'drift': 0.2421211972789119, 'noise': 5.56023840155601}
900f85fe-f692-4a99-b95f-8822c673b8da,float,engine-temp-1,1767114690.6789389,70.0,1.0,observed,scalar,C,{'drift': -0.2210434837958822, 'noise': -2.531730243393099}
767b2479-efbb-44c6-9732-8c1393e745ec,simulated,fuel-1,1767114690.6190646,49.37367328839271,0.9983683814862878,reconstructed,unknown,,{'reconstruction_method': 'KalmanFilter', 'reconstruction_time': 1767114690.7247655}
7cd9a8e3-ce77-4347-b524-d2de7cadccdc,float,engine-temp-1,1767114691.5775766,71.60085372361331,1.0,observed,scalar,C,{'drift': 0.13365961371890384, 'noise': 1.467194109894413}
46252f12-d552-4598-a64f-77dec6a2d701,float,speed-1,1767114691.6255877,21.462236064132806,1.0,observed,scalar,km/h,{'drift': -1.1865151721878044, 'noise': 8.658576950340427}
ad24b5e2-3005-4087-8242-bd6682bfc2d2,float,fuel-1,1767114691.8771398,48.18524334057942,1.0,observed,scalar,%,{'drift': -0.2884393873016311, 'noise': -0.0012531251659863279}
707ff2ad-c7c2-4ef3-9bb0-d4c38f5083eb,float,engine-temp-1,1767114692.4612436,73.14055329853224,1.0,observed,scalar,C,{'drift': -0.17119095130395426, 'noise': 1.7108905262228782}
1dd137de-4663-4c39-a156-f9d5766dc105,simulated,speed-1,1767114692.6190646,6.890584202810218,0.9532340156685483,reconstructed,unknown,,{'reconstruction_method': 'KalmanFilter', 'reconstruction_time': 1767114692.7315073}
35319ef1-f806-4592-ba09-1588b800c831,float,fuel-1,1767114693.1382577,48.09722079784155,1.0,observed,scalar,%,{'drift': -0.12049179536640753, 'noise': 0.03246925262853843}
a363149d-06fe-4e7a-88cf-5e7da328587e,float,engine-temp-1,1767114693.3433163,75.11547692378718,1.0,observed,scalar,C,{'drift': -0.11611905858318836, 'noise': 2.0910426838381344}
2f06b541-646b-4c0a-a749-cc97e9db779b,float,speed-1,1767114693.6255598,22.70110224683005,1.0,observed,scalar,km/h,{'drift': 1.4120684259061704, 'noise': 0.26338266310277314}
6c128fba-cb8d-421b-89a1-e9f0e6a27a24,float,engine-temp-1,1767114694.2423122,73.7135581595725,1.0,observed,scalar,C,{'drift': -0.12381029960126003, 'noise': -1.278108464613429}
f704c597-6c4b-4be9-b622-d2434490eace,float,fuel-1,1767114694.384832,47.86924811377293,1.0,observed,scalar,%,{'drift': -0.17270660563008577, 'noise': -0.05526607843853265}
96a4ee13-8115-4dcc-8bea-eace16d35c38,float,speed-1,1767114694.6364646,18.87597091873478,1.0,observed,scalar,km/h,{'drift': -1.4685860445079535, 'noise': -2.3565452835873173}
df47bbaa-3038-40a0-9c60-d8ec91a10e42,float,engine-temp-1,1767114695.1232398,75.86523780381663,1.0,observed,scalar,C,{'drift': -0.2458792985409649, 'noise': 2.3975589427850856}
f18c77c2-2a8b-4b59-8609-b81fd9f9eb9b,float,speed-1,1767114695.6294508,20.889923058647554,1.0,observed,scalar,km/h,{'drift': 1.0213320549394673, 'noise': 0.9926200849733053}
28e448da-456c-4284-80f6-1b06926e723b,float,fuel-1,1767114695.6294508,47.52325241435362,1.0,observed,scalar,%,{'drift': -0.22881993188128125, 'noise': -0.11717576753803223}
1e37ba27-3aa6-4b59-a90b-2601f5e3ed64,simulated,engine-temp-1,1767114696.00907,72.7230012497803,0.9931199235500279,reconstructed,unknown,,{'reconstruction_method': 'KalmanFilter', 'reconstruction_time': 1767114696.1161761}
3c5eb54e-14a3-4662-b941-b3a577d063c8,float,speed-1,1767114696.623947,15.105045663387502,1.0,observed,scalar,km/h,{'drift': 1.218382254729152, 'noise': -7.003259649989204}
ec7fd9ad-0058-4b82-a1a6-6a4c9cfeeeb3,float,fuel-1,1767114696.8774955,47.73981919843446,1.0,observed,scalar,%,{'drift': 0.08904805291061646, 'noise': 0.12751873117021978}
fb7df188-f4de-48da-b5ff-4ada5ad935a1,float,engine-temp-1,1767114696.909495,75.17003704466346,1.0,observed,scalar,C,{'drift': -0.19746028524161935, 'noise': -1.479219333904107}
1866ba01-148a-43ed-92ab-9c71249d01fd,float,speed-1,1767114697.634023,14.901681419421829,1.0,observed,scalar,km/h,{'drift': 0.5206520271659345, 'noise': -0.7240162711316078}
e015db1a-4355-4ca1-addc-b73003f610a5,float,engine-temp-1,1767114697.808066,75.71666230179366,1.0,observed,scalar,C,{'drift': -0.2581310056658353, 'noise': 0.8047562627960392}
aa97a783-16b7-4f13-a5a4-cf2cb86cf6bc,float,fuel-1,1767114698.1381776,47.900738575986765,1.0,observed,scalar,%,{'drift': 0.1598648752516657, 'noise': 0.0010545023006390218}
